FROM | (68.64, 122.83) to (97.51, 132.71)
FROM | (2308.08, 453.79) to (2336.95, 463.67)
TEST | (2339.52, 453.79) to (2364.52, 463.67)
METER | (2367.36, 453.79) to (2401.62, 463.67)
UNIT | (2336.64, 464.83) to (2359.24, 474.71)
FM-0050 | (2362.08, 464.83) to (2401.42, 474.71)
FROM | (68.4, 482.83) to (97.27, 492.71)
WELL | (99.84, 482.83) to (127.17, 492.71)
# | (129.84, 482.83) to (135.33, 492.71)
526 | (138.0, 482.83) to (154.53, 492.71)
CA-907106 | (2308.8, 481.15) to (2358.46, 491.03)
SHT | (2361.12, 481.15) to (2380.6, 491.03)
013 | (2383.44, 481.15) to (2399.98, 491.03)
CA-907106 | (69.6, 499.15) to (119.25, 509.03)
SHT | (121.92, 499.15) to (141.4, 509.03)
006 | (144.24, 499.15) to (160.77, 509.03)
MPFM | (2309.52, 497.47) to (2338.39, 507.35)
OUTLET | (2340.96, 497.47) to (2379.64, 507.35)
(N2) | (2382.24, 497.47) to (2401.37, 507.35)
(SLOT | (68.4, 515.47) to (97.24, 525.35)
6) | (99.84, 515.47) to (108.65, 525.35)
FROM | (68.64, 554.83) to (97.51, 564.71)
WELL | (100.08, 554.83) to (127.41, 564.71)
# | (130.08, 554.83) to (135.57, 564.71)
528 | (138.24, 554.83) to (154.77, 564.71)
CA-907106 | (69.84, 571.15) to (119.49, 581.03)
SHT | (122.16, 571.15) to (141.64, 581.03)
008 | (144.48, 571.15) to (161.01, 581.03)
(SLOT | (68.64, 587.47) to (97.48, 597.35)
8) | (100.08, 587.47) to (108.89, 597.35)
TI | (1285.2, 613.47) to (1292.62, 623.64)
FROM | (68.4, 626.83) to (97.27, 636.71)
WELL | (99.84, 626.83) to (127.17, 636.71)
# | (129.84, 626.83) to (135.33, 636.71)
528 | (138.0, 626.83) to (154.53, 636.71)
0074 | (1279.92, 628.35) to (1298.0, 638.52)
CA-907106 | (69.6, 643.15) to (119.25, 653.03)
SHT | (121.92, 643.15) to (141.4, 653.03)
008 | (144.24, 643.15) to (160.77, 653.03)
(SLOT | (68.4, 659.47) to (97.24, 669.35)
8) | (99.84, 659.47) to (108.65, 669.35)
FROM | (2370.96, 658.99) to (2399.83, 668.87)
CI | (2402.4, 658.99) to (2412.11, 668.87)
PI | (1140.96, 664.11) to (1148.85, 674.28)
INJECTION | (2329.68, 670.03) to (2381.46, 679.91)
PUMP | (2383.92, 670.03) to (2412.11, 679.91)
0074 | (1132.08, 678.99) to (1150.16, 689.16)
B | (1152.24, 678.99) to (1157.8, 689.16)
CA-907106 | (2319.6, 686.35) to (2369.26, 696.23)
SHT | (2371.92, 686.35) to (2391.4, 696.23)
018 | (2394.24, 686.35) to (2410.78, 696.23)
FROM | (68.4, 698.83) to (97.27, 708.71)
WELL | (99.84, 698.83) to (127.17, 708.71)
# | (129.84, 698.83) to (135.33, 708.71)
329 | (138.0, 698.83) to (154.53, 708.71)
CA-907106 | (69.6, 715.15) to (119.25, 725.03)
SHT | (121.92, 715.15) to (141.4, 725.03)
010 | (144.24, 715.15) to (160.77, 725.03)
TIT | (1282.8, 723.63) to (1295.1, 733.8)
(SLOT | (68.4, 731.47) to (97.24, 741.35)
10) | (99.84, 731.47) to (114.17, 741.35)
PI | (1613.76, 728.67) to (1621.65, 738.84)
PI | (1776.96, 728.67) to (1784.85, 738.84)
PI | (1947.36, 728.67) to (1955.25, 738.84)
0074 | (1279.92, 738.51) to (1298.0, 748.68)
0007 | (1604.88, 743.79) to (1622.96, 753.96)
A | (1625.03, 743.79) to (1630.6, 753.96)
0007 | (1767.84, 743.79) to (1785.92, 753.96)
B | (1788.0, 743.79) to (1793.56, 753.96)
0007 | (1938.24, 743.79) to (1956.32, 753.96)
C | (1958.4, 743.79) to (1964.42, 753.96)
PIT | (1138.56, 748.59) to (1151.1, 758.76)
0074 | (1135.92, 763.71) to (1154.0, 773.88)
FROM | (68.4, 770.83) to (97.27, 780.71)
WELL | (99.84, 770.83) to (127.17, 780.71)
# | (129.84, 770.83) to (135.33, 780.71)
329 | (138.0, 770.83) to (154.53, 780.71)
TIT | (1282.8, 780.75) to (1295.1, 790.92)
CA-907106 | (69.6, 787.15) to (119.25, 797.03)
SHT | (121.92, 787.15) to (141.4, 797.03)
010 | (144.24, 787.15) to (160.77, 797.03)
0074 | (1279.92, 795.87) to (1298.0, 806.04)
(SLOT | (68.64, 803.47) to (97.48, 813.35)
10) | (100.08, 803.47) to (114.41, 813.35)
PIT | (1138.56, 806.19) to (1151.1, 816.36)
PIT | (1611.36, 800.91) to (1623.9, 811.08)
PIT | (1774.32, 800.91) to (1786.86, 811.08)
PIT | (1944.72, 800.91) to (1957.26, 811.08)
0007 | (1604.88, 815.79) to (1622.96, 825.96)
A | (1625.03, 815.79) to (1630.6, 825.96)
0007 | (1767.84, 815.79) to (1785.92, 825.96)
B | (1788.0, 815.79) to (1793.56, 825.96)
0007 | (1938.24, 815.79) to (1956.32, 825.96)
C | (1958.4, 815.79) to (1964.42, 825.96)
0074 | (1135.92, 821.31) to (1154.0, 831.48)
TW | (1246.56, 874.59) to (1259.53, 884.76)
TE | (1283.76, 874.59) to (1294.42, 884.76)
PI | (1140.96, 888.99) to (1148.85, 899.16)
0074 | (1243.92, 889.71) to (1262.0, 899.88)
0074 | (1279.92, 889.71) to (1298.0, 899.88)
0074 | (1132.08, 904.11) to (1150.16, 914.28)
A | (1152.23, 904.11) to (1157.8, 914.28)
PIT | (1677.6, 903.39) to (1690.14, 913.56)
PIT | (1774.32, 903.39) to (1786.86, 913.56)
PIT | (1881.12, 903.39) to (1893.66, 913.56)
0007 | (1671.12, 918.51) to (1689.2, 928.68)
A | (1691.27, 918.51) to (1696.84, 928.68)
0007 | (1767.84, 918.51) to (1785.92, 928.68)
B | (1788.0, 918.51) to (1793.56, 928.68)
0007 | (1874.4, 918.51) to (1892.48, 928.68)
C | (1894.56, 918.51) to (1900.58, 928.68)
XE | (2041.2, 935.07) to (2052.33, 945.24)
0016 | (2037.36, 949.95) to (2055.44, 960.12)
3 | (1512.96, 974.31) to (1519.17, 985.48)
O' | (1522.32, 974.31) to (1533.09, 985.48)
CLOCK | (1536.24, 974.31) to (1574.65, 985.48)
CONNECTION | (1512.96, 986.79) to (1587.75, 997.96)
TO | (2289.6, 986.83) to (2303.29, 996.71)
12" | (2305.92, 986.83) to (2320.47, 996.71)
FLOWLINE | (2323.2, 986.83) to (2373.71, 996.71)
CA-907106 | (2290.8, 1003.15) to (2340.46, 1013.03)
SHT | (2343.12, 1003.15) to (2362.6, 1013.03)
013 | (2365.44, 1003.15) to (2381.98, 1013.03)
15NX0P | (1519.44, 1012.71) to (1560.73, 1023.88)
NOTE | (1387.2, 1020.87) to (1418.17, 1032.04)
6 | (1421.28, 1020.87) to (1427.49, 1032.04)
INSTR. | (1441.44, 1025.43) to (1477.91, 1036.6)
NOTE | (1620.48, 1023.75) to (1651.45, 1034.92)
4 | (1654.56, 1023.75) to (1660.77, 1034.92)
TE | (1682.4, 1026.51) to (1693.06, 1036.68)
XE | (2010.72, 1026.03) to (2021.85, 1036.2)
XE | (1471.44, 1043.31) to (1482.57, 1053.48)
0029 | (1678.56, 1041.39) to (1696.64, 1051.56)
0037 | (2007.12, 1041.15) to (2025.2, 1051.32)
0071 | (1464.0, 1058.43) to (1482.08, 1068.6)
A | (1484.15, 1058.43) to (1489.72, 1068.6)
TE | (1294.32, 1080.03) to (1304.98, 1090.2)
0030 | (1290.48, 1094.91) to (1308.56, 1105.08)
DRAIN | (732.96, 1157.67) to (767.43, 1168.84)
XE | (2010.72, 1154.67) to (2021.85, 1164.84)
0036 | (2007.12, 1169.79) to (2025.2, 1179.96)
XT | (2010.96, 1190.67) to (2021.62, 1200.84)
XI | (2121.12, 1190.67) to (2129.01, 1200.84)
FROM | (68.4, 1202.83) to (97.27, 1212.72)
WELL | (99.84, 1202.83) to (127.17, 1212.72)
# | (129.84, 1202.83) to (135.33, 1212.72)
529 | (138.0, 1202.83) to (154.53, 1212.72)
0036 | (2007.12, 1205.79) to (2025.2, 1215.96)
0036 | (2115.84, 1205.79) to (2133.92, 1215.96)
CA-907106 | (69.6, 1219.15) to (119.25, 1229.04)
SHT | (121.92, 1219.15) to (141.4, 1229.04)
009 | (144.24, 1219.15) to (160.77, 1229.04)
(SLOT | (68.4, 1235.47) to (97.24, 1245.36)
11) | (99.84, 1235.47) to (114.17, 1245.36)
TO | (2289.84, 1267.63) to (2303.53, 1277.52)
SLOPS | (2306.16, 1267.63) to (2338.91, 1277.52)
TANK | (2341.68, 1267.63) to (2367.95, 1277.52)
FROM | (68.4, 1274.83) to (97.27, 1284.72)
WELL | (99.84, 1274.83) to (127.17, 1284.72)
# | (129.84, 1274.83) to (135.33, 1284.72)
529 | (138.0, 1274.83) to (154.53, 1284.72)
CA-907106 | (2291.28, 1283.95) to (2340.94, 1293.84)
SHT | (2343.6, 1283.95) to (2363.08, 1293.84)
017 | (2365.92, 1283.95) to (2382.46, 1293.84)
CA-907106 | (69.6, 1291.15) to (119.25, 1301.04)
SHT | (121.92, 1291.15) to (141.4, 1301.04)
009 | (144.24, 1291.15) to (160.77, 1301.04)
(SLOT | (68.4, 1307.47) to (97.24, 1317.36)
11) | (99.84, 1307.47) to (114.17, 1317.36)
FROM | (68.4, 1346.83) to (97.27, 1356.72)
WELL | (99.84, 1346.83) to (127.17, 1356.72)
# | (129.84, 1346.83) to (135.33, 1356.72)
527 | (138.0, 1346.83) to (154.53, 1356.72)
TO | (2289.6, 1346.83) to (2303.29, 1356.72)
FLASH | (2305.92, 1346.83) to (2337.54, 1356.72)
POT | (2340.24, 1346.83) to (2360.44, 1356.72)
00A | (2443.44, 1358.07) to (2463.37, 1369.24)
12/07/21 | (2470.08, 1358.07) to (2513.73, 1369.24)
RE-ISSUED | (2519.52, 1358.55) to (2580.15, 1369.72)
FOR | (2583.12, 1358.55) to (2606.79, 1369.72)
CONSTRUCTION | (2609.76, 1358.55) to (2699.91, 1369.72)
AB | (2729.52, 1358.07) to (2744.41, 1369.24)
CDS | (2769.84, 1358.07) to (2793.13, 1369.24)
BL | (2816.4, 1358.07) to (2830.05, 1369.24)
CA-907106 | (69.6, 1363.15) to (119.25, 1373.04)
SHT | (121.92, 1363.15) to (141.4, 1373.04)
007 | (144.24, 1363.15) to (160.77, 1373.04)
CA-907106 | (2290.8, 1363.15) to (2340.46, 1373.04)
SHT | (2343.12, 1363.15) to (2362.6, 1373.04)
023 | (2365.44, 1363.15) to (2381.98, 1373.04)
(SLOT | (68.4, 1379.47) to (97.24, 1389.36)
7) | (99.84, 1379.47) to (108.65, 1389.36)
SAMPLING | (2289.6, 1379.47) to (2340.01, 1389.36)
SYSTEM | (2342.64, 1379.47) to (2383.03, 1389.36)
SCL-001 | (2289.6, 1390.27) to (2328.22, 1400.16)
FROM | (68.4, 1418.83) to (97.27, 1428.72)
WELL | (99.84, 1418.83) to (127.17, 1428.72)
# | (129.84, 1418.83) to (135.33, 1428.72)
527 | (138.0, 1418.83) to (154.53, 1428.72)
CA-907106 | (69.6, 1435.15) to (119.25, 1445.04)
SHT | (121.92, 1435.15) to (141.4, 1445.04)
007 | (144.24, 1435.15) to (160.77, 1445.04)
(SLOT | (68.4, 1451.47) to (97.24, 1461.36)
7) | (99.84, 1451.47) to (108.65, 1461.36)
FROM | (68.16, 1490.83) to (97.03, 1500.72)
WELL | (99.6, 1490.83) to (126.93, 1500.72)
# | (129.6, 1490.83) to (135.09, 1500.72)
525 | (137.76, 1490.83) to (154.29, 1500.72)
CA-907106 | (69.36, 1507.15) to (119.01, 1517.04)
SHT | (121.68, 1507.15) to (141.16, 1517.04)
005 | (144.0, 1507.15) to (160.53, 1517.04)
TO | (2289.6, 1519.63) to (2303.29, 1529.52)
SLOPS | (2305.92, 1519.63) to (2338.67, 1529.52)
TANK | (2341.44, 1519.63) to (2367.71, 1529.52)
(SLOT | (68.4, 1523.47) to (97.24, 1533.36)
5) | (99.84, 1523.47) to (108.65, 1533.36)
CA-907106 | (2290.8, 1535.95) to (2340.46, 1545.84)
SHT | (2343.12, 1535.95) to (2362.6, 1545.84)
017 | (2365.44, 1535.95) to (2381.98, 1545.84)
FROM | (68.4, 1562.83) to (97.27, 1572.72)
WELL | (99.84, 1562.83) to (127.17, 1572.72)
# | (129.84, 1562.83) to (135.33, 1572.72)
525 | (138.0, 1562.83) to (154.53, 1572.72)
CA-907106 | (69.6, 1579.15) to (119.25, 1589.04)
SHT | (121.92, 1579.15) to (141.4, 1589.04)
005 | (144.24, 1579.15) to (160.77, 1589.04)
3 | (1464.96, 1579.11) to (1471.17, 1590.28)
O' | (1474.32, 1579.11) to (1485.09, 1590.28)
CLOCK | (1488.24, 1579.11) to (1526.65, 1590.28)
TO | (2289.6, 1580.59) to (2303.29, 1590.48)
TEST | (2305.92, 1580.59) to (2331.16, 1590.48)
METER | (2334.0, 1580.59) to (2368.26, 1590.48)
CONNECTION | (1464.96, 1591.59) to (1539.75, 1602.76)
UNIT | (2289.6, 1591.63) to (2312.2, 1601.52)
FM-0050 | (2315.04, 1591.63) to (2354.38, 1601.52)
(SLOT | (68.4, 1595.47) to (97.24, 1605.36)
5) | (99.84, 1595.47) to (108.65, 1605.36)
CA-907106 | (2290.8, 1607.95) to (2340.46, 1617.84)
SHT | (2343.12, 1607.95) to (2362.6, 1617.84)
013 | (2365.44, 1607.95) to (2381.98, 1617.84)
15NX0P | (1471.2, 1617.51) to (1512.49, 1628.68)
INSTR. | (1393.2, 1630.23) to (1429.67, 1641.4)
FROM | (68.16, 1634.83) to (97.03, 1644.72)
WELL | (99.6, 1634.83) to (126.93, 1644.72)
# | (129.6, 1634.83) to (135.09, 1644.72)
523 | (137.76, 1634.83) to (154.29, 1644.72)
XE | (1423.2, 1648.11) to (1434.33, 1658.28)
CA-907106 | (69.36, 1651.15) to (119.01, 1661.04)
SHT | (121.68, 1651.15) to (141.16, 1661.04)
003 | (144.0, 1651.15) to (160.53, 1661.04)
TO | (2289.6, 1657.39) to (2303.29, 1667.28)
FLASH | (2305.92, 1657.39) to (2337.54, 1667.28)
POT | (2340.24, 1657.39) to (2360.44, 1667.28)
0071 | (1415.76, 1663.23) to (1433.84, 1673.4)
B | (1435.92, 1663.23) to (1441.48, 1673.4)
(SLOT | (68.4, 1667.47) to (97.24, 1677.36)
3) | (99.84, 1667.47) to (108.65, 1677.36)
CA-907106 | (2290.8, 1673.71) to (2340.46, 1683.6)
SHT | (2343.12, 1673.71) to (2362.6, 1683.6)
023 | (2365.44, 1673.71) to (2381.98, 1683.6)
SAMPLING | (2289.6, 1690.03) to (2340.01, 1699.92)
SYSTEM | (2342.64, 1690.03) to (2383.03, 1699.92)
SCL-002 | (2289.6, 1700.83) to (2328.22, 1710.72)
FROM | (68.4, 1706.83) to (97.27, 1716.72)
WELL | (99.84, 1706.83) to (127.17, 1716.72)
# | (129.84, 1706.83) to (135.33, 1716.72)
523 | (138.0, 1706.83) to (154.53, 1716.72)
CA-907106 | (69.6, 1723.15) to (119.25, 1733.04)
SHT | (121.92, 1723.15) to (141.4, 1733.04)
003 | (144.24, 1723.15) to (160.77, 1733.04)
(SLOT | (68.4, 1739.47) to (97.24, 1749.36)
3) | (99.84, 1739.47) to (108.65, 1749.36)
FROM | (68.4, 1778.83) to (97.27, 1788.72)
WELL | (99.84, 1778.83) to (127.17, 1788.72)
# | (129.84, 1778.83) to (135.33, 1788.72)
521 | (138.0, 1778.83) to (154.53, 1788.72)
CA-907106 | (69.6, 1795.15) to (119.25, 1805.04)
SHT | (121.92, 1795.15) to (141.4, 1805.04)
001 | (144.24, 1795.15) to (160.77, 1805.04)
(SLOT | (68.4, 1811.47) to (97.24, 1821.36)
1) | (99.84, 1811.47) to (108.65, 1821.36)
TO | (2289.6, 1836.43) to (2303.29, 1846.32)
SLOPS | (2305.92, 1836.43) to (2338.67, 1846.32)
TANK | (2341.44, 1836.43) to (2367.71, 1846.32)
FROM | (68.4, 1850.83) to (97.27, 1860.72)
WELL | (99.84, 1850.83) to (127.17, 1860.72)
# | (129.84, 1850.83) to (135.33, 1860.72)
521 | (138.0, 1850.83) to (154.53, 1860.72)
CA-907106 | (2290.8, 1852.75) to (2340.46, 1862.64)
SHT | (2343.12, 1852.75) to (2362.6, 1862.64)
023 | (2365.44, 1852.75) to (2381.98, 1862.64)
CA-907106 | (69.6, 1867.15) to (119.25, 1877.04)
SHT | (121.92, 1867.15) to (141.4, 1877.04)
001 | (144.24, 1867.15) to (160.77, 1877.04)
(SLOT | (68.4, 1883.47) to (97.24, 1893.36)
1) | (99.84, 1883.47) to (108.65, 1893.36)
DLOFINAM | (647.19, 849.22) to (658.36, 906.72)
NOITCUDORP | (647.19, 909.94) to (658.36, 984.72)
- | (1237.92, 344.91) to (1240.7, 355.08)
- | (1437.87, 978.82) to (1448.04, 981.6)
- | (763.92, 800.91) to (766.7, 811.08)
- | (559.44, 1029.87) to (562.22, 1040.04)
- | (555.12, 1113.15) to (557.9, 1123.32)
- | (2154.24, 1311.63) to (2157.02, 1321.8)
PIPING | (1501.68, 1696.59) to (1528.82, 1706.76)
- | (1437.87, 930.58) to (1448.04, 933.36)
- | (706.08, 802.11) to (708.86, 812.28)
- | (896.88, 811.47) to (899.66, 821.64)
NOTE | (1131.12, 842.55) to (1162.09, 853.72)
7 | (1165.2, 842.55) to (1171.41, 853.72)
DRAIN | (746.88, 851.67) to (781.35, 862.84)
INSTR | (2094.0, 881.07) to (2118.27, 891.24)
PIPING | (2136.96, 880.59) to (2164.1, 890.76)
INSTR. | (1165.68, 928.71) to (1202.15, 939.88)
INSTR. | (1919.52, 943.35) to (1955.99, 954.52)
PIPING | (1165.68, 946.47) to (1203.41, 957.64)
- | (700.08, 960.27) to (702.86, 970.44)
INSTR. | (1281.6, 961.11) to (1318.07, 972.28)
PIPING | (1918.56, 960.15) to (1956.29, 971.32)
12 | (1992.24, 966.99) to (2001.44, 977.16)
O' | (2003.52, 966.99) to (2011.36, 977.16)
CLOCK | (2013.36, 966.99) to (2041.24, 977.16)
PIPING | (1281.6, 979.11) to (1319.33, 990.28)
CONNECTION | (1992.24, 978.27) to (2046.03, 988.44)
PRODUCTION | (803.76, 995.91) to (878.55, 1007.08)
HEADER | (881.76, 995.91) to (928.23, 1007.08)
- | (1890.48, 1029.63) to (1893.26, 1039.8)
MPFM | (803.28, 1063.83) to (835.87, 1075.0)
INLET | (839.04, 1063.83) to (870.59, 1075.0)
INSTR | (1494.24, 1102.83) to (1518.51, 1113.0)
- | (611.76, 1112.67) to (614.54, 1122.84)
- | (1562.91, 1759.3) to (1573.08, 1762.08)
- | (954.72, 810.27) to (957.5, 820.44)
- | (751.68, 959.55) to (754.46, 969.72)
INSTR | (1451.28, 1695.63) to (1475.55, 1705.8)
DLOFINAM | (513.99, 824.98) to (525.16, 882.48)
TSET | (513.99, 885.74) to (525.16, 914.4)
NOTE | (1232.4, 1077.27) to (1263.37, 1088.44)
4 | (1266.48, 1077.27) to (1272.69, 1088.44)
- | (2099.52, 1311.87) to (2102.3, 1322.04)
RTSNI | (2095.47, 963.81) to (2105.64, 988.08)
- | (606.0, 1029.87) to (608.78, 1040.04)
PIPING | (1546.08, 1102.35) to (1573.22, 1112.52)
- | (1557.87, 1272.34) to (1568.04, 1275.12)
- | (1557.87, 1322.74) to (1568.04, 1325.52)
- | (1562.91, 1812.1) to (1573.08, 1814.88)
15NX0P17 | (1162.8, 363.27) to (1216.53, 374.44)
4"-OS-5004-1NX0P17 | (2159.28, 387.48) to (2257.66, 399.3)
15NX0P17 | (1196.88, 423.99) to (1250.61, 435.16)
() | (1312.08, 774.63) to (1319.4, 785.8)
OS | (747.84, 804.43) to (761.87, 814.31)
5002 | (962.88, 813.31) to (984.93, 823.19)
NOTE | (1804.56, 862.23) to (1835.53, 873.4)
8 | (1838.64, 862.23) to (1844.85, 873.4)
NOTE | (1920.48, 864.87) to (1951.45, 876.04)
8 | (1954.56, 864.87) to (1960.77, 876.04)
NOTE | (1688.88, 887.43) to (1719.85, 898.6)
8 | (1722.96, 887.43) to (1729.17, 898.6)
2" | (1989.36, 892.35) to (1996.88, 902.52)
CORROSION | (1998.96, 892.35) to (2048.18, 902.52)
INHIBITOR | (1998.48, 903.87) to (2039.07, 914.04)
INJECTION | (1980.72, 915.39) to (2023.23, 925.56)
FITTING | (2025.12, 915.39) to (2056.58, 925.56)
6 | (1812.96, 974.43) to (1817.6, 984.6)
O' | (1819.68, 974.43) to (1827.52, 984.6)
CLOCK | (1829.76, 974.43) to (1857.4, 984.6)
CONNECTION | (1812.96, 985.95) to (1866.75, 996.12)
NOTE | (2020.08, 1011.75) to (2051.05, 1022.92)
6 | (2054.16, 1011.75) to (2060.37, 1022.92)
- | (1943.76, 1029.87) to (1946.54, 1040.04)
1" | (1614.72, 1052.43) to (1622.32, 1062.6)
NOTE | (2028.72, 1067.43) to (2059.69, 1078.6)
3 | (2062.8, 1067.43) to (2069.01, 1078.6)
INSTR. | (2089.92, 1065.51) to (2126.39, 1076.68)
PIPING | (2089.92, 1095.27) to (2127.65, 1106.44)
15NX0P | (600.72, 1128.99) to (630.77, 1139.16)
NOTE | (2026.8, 1130.31) to (2057.77, 1141.48)
3 | (2060.88, 1130.31) to (2067.09, 1141.48)
INSTR. | (2089.92, 1129.59) to (2126.39, 1140.76)
- | (1721.04, 1172.31) to (1724.76, 1183.48)
- | (1858.08, 1172.31) to (1861.8, 1183.48)
NOTE | (998.64, 1177.59) to (1029.61, 1188.76)
5 | (1032.72, 1177.59) to (1038.93, 1188.76)
- | (1722.0, 1189.35) to (1725.72, 1200.52)
- | (1859.04, 1189.35) to (1862.76, 1200.52)
NOTE | (2109.84, 1228.23) to (2140.81, 1239.4)
9 | (2143.92, 1228.23) to (2150.13, 1239.4)
NOTE | (1995.36, 1251.75) to (2026.33, 1262.92)
1 | (2029.44, 1251.75) to (2035.65, 1262.92)
00 | (2445.12, 1376.07) to (2457.57, 1387.24)
06/07/21 | (2470.08, 1376.07) to (2513.73, 1387.24)
ISSUED | (2519.52, 1376.55) to (2560.95, 1387.72)
FOR | (2564.16, 1376.55) to (2587.59, 1387.72)
CONSTRUCTION | (2590.8, 1376.55) to (2680.71, 1387.72)
AB | (2729.52, 1376.07) to (2744.41, 1387.24)
CDS | (2769.84, 1376.07) to (2793.13, 1387.24)
BL | (2816.4, 1376.07) to (2830.05, 1387.24)
REV | (2442.0, 1392.87) to (2464.81, 1404.04)
DATE | (2475.6, 1399.35) to (2505.37, 1410.52)
REVISION | (2545.92, 1399.35) to (2599.35, 1410.52)
DESCRIPTION | (2602.32, 1399.35) to (2678.79, 1410.52)
PREP. | (2722.32, 1399.35) to (2755.67, 1410.52)
VERIFY | (2760.0, 1399.35) to (2800.09, 1410.52)
APPR. | (2806.56, 1399.35) to (2839.91, 1410.52)
NO. | (2442.0, 1405.35) to (2461.67, 1416.52)
3/4"-OS-5010-1NX0P | (2179.92, 1521.96) to (2275.55, 1533.78)
4" | (303.36, 1876.51) to (312.39, 1886.4)
x | (315.12, 1876.51) to (320.06, 1886.4)
0.337" | (322.56, 1876.51) to (350.79, 1886.4)
WTH | (353.52, 1876.51) to (376.49, 1886.4)
ASTM | (313.44, 1887.55) to (340.63, 1897.44)
B444 | (343.2, 1887.55) to (366.45, 1897.44)
UNS | (298.32, 1898.35) to (318.83, 1908.24)
N06625 | (321.6, 1898.35) to (356.13, 1908.24)
GR | (358.8, 1898.35) to (373.61, 1908.24)
1 | (376.08, 1898.35) to (381.57, 1908.24)
P0XN51 | (1460.67, 910.27) to (1470.84, 940.32)
4"-P-1002-15NX0P | (302.4, 126.6) to (387.71, 138.42)
15NX0P | (586.56, 185.55) to (616.61, 195.72)
15LL0P12 | (625.68, 185.55) to (662.48, 195.72)
15NX0P | (583.92, 329.79) to (613.97, 339.96)
4"-P-1014-15NX0P | (296.88, 344.76) to (382.43, 356.58)
15NX0P | (1149.12, 421.23) to (1179.17, 431.4)
1" | (1085.28, 437.07) to (1092.88, 447.24)
V | (1493.04, 446.59) to (1499.63, 456.47)
15NX0P | (587.28, 473.55) to (617.33, 483.72)
15LL0P12 | (625.68, 473.55) to (662.48, 483.72)
4"-P-1016-15NX0P | (299.28, 488.76) to (384.83, 500.58)
15NX0P | (585.12, 618.75) to (615.17, 628.92)
15LL0P12 | (626.16, 618.75) to (662.96, 628.92)
4" | (303.36, 652.51) to (312.39, 662.39)
x | (315.12, 652.51) to (320.06, 662.39)
0.337" | (322.56, 652.51) to (350.79, 662.39)
WTH | (353.52, 652.51) to (376.49, 662.39)
ASTM | (313.2, 663.31) to (340.39, 673.19)
B444 | (342.96, 663.31) to (366.21, 673.19)
UNS | (298.08, 674.35) to (318.59, 684.23)
N06625 | (321.36, 674.35) to (355.89, 684.23)
GR | (358.56, 674.35) to (373.37, 684.23)
1 | (375.84, 674.35) to (381.33, 684.23)
15NX0P | (584.4, 761.79) to (614.45, 771.96)
15LL0P12 | (627.12, 761.79) to (663.92, 771.96)
